Nombre del Lugar,Categoría,Dirección,Latitud,Longitud,Tiempo de Estancia,Costo Estimado,Imagen,Subcategoría,Nota para IA
"Nieves Chapalita Tepeyac, Guadalajara",Postre,Av. Tepeyac 1207,"20,6615796","-103,4059981",15,$50 - $100,,,"Nieves artesanales de garrafa elaboradas con métodos tradicionales en Chapalita. Sabores únicos como mamey, guanábana y rompope en un negocio familiar de toda la vida."
"Nieves de Garrafa Chapalita Juárez, Guadalajara",Postre,C. Juárez 246,"20,6383582","-103,3145029",15,$50 - $100,,,"Nieves de garrafa artesanales en el corazón de Tlaquepaque. Sabores regionales únicos como chongos y chilacayote que solo encuentras en puestos tradicionales jaliscienses."
"Nieves de Garrafa Chapalita Gourmet, Guadalajara",Postre,Calle Independencia 321,"20,6392819","-103,3161748",15,$50 - $100,,,"Versión gourmet de las tradicionales nieves de garrafa jaliscienses. Sabores creativos y de temporada en la calle Independencia de Tlaquepaque; el postre perfecto del recorrido."
"Churros ""La Bombilla"", Guadalajara",Postre,C. Manuel López Cotilla 751-A,"20,6740596","-103,3558814",45,$100 - $200,,,"Churros artesanales crujientes servidos con chocolate caliente en el corazón de Guadalajara. Una tradición dulce para rematar un día de turismo por el Centro Histórico."
"Dulces Regionales ""Nuestros Dulces"", Guadalajara",Postre,Av. 16 de Septiembre 133,"20,6746863","-103,3471794",45,$100,,,"Tienda de dulces típicos jaliscienses en el Centro Histórico. Mazapanes, ates de membrillo y cajeta artesanal; el mejor souvenir comestible para llevar de Guadalajara."
"El Gallo Altanero, Guadalajara",Vida Nocturna,Calle Marsella 126,"20,6740616","-103,3707624",30,$60 - $120,,Vida Nocturna
"Gallo Cervecero Sportsbar , Guadalajara","Vida Nocturna, Gastronomía",C. Progreso 79,"20,6750469","-103,3670046",20,$20 - $100,,Vida Nocturna
"Osteria 10, Guadalajara","Postre, Gastronomía",C. Manuel López Cotilla 1498-A,"20,6738854","-103,3696233",30,$40 - $80,,Gourmet
"Bosque Colomos, Guadalajara","Aventura, Naturaleza",Los Colomos Forest,"20,7048846","-103,3910733",60,Gratis,,,"Pulmón verde de Guadalajara con 90 hectáreas de bosque urbano. Ideal para caminatas y desconexión; alberga el jardín japonés más grande de América Latina y hermosas fuentes."
"La Boca Parrilla Rustica, Guadalajara","Gastronomía, Gastronomía Mexicana, Vida Nocturna","Miguel, C. Miguel Lerdo de Tejada 2100","20,6716459","-103,3703191",150,$500 - $600,,Gourmet,"Parrilla rustica con cortes de carne premium en la Colonia Americana. Ambiente animado y carnes al carbón con guarniciones generosas; ideal para carnívoros exigentes."
"CRAFT Americana, Guadalajara","Gastronomía, Música, Vida Nocturna",Av. de la Paz 1766-Local 2,"20,671765","-103,3639297",90,$300,,Gourmet,"Hamburguesas artesanales y cervezas craft en la Colonia Americana. Ambiente informal y animado con música; perfecto para un almuerzo o cena entre amigos."
"Argento Americana, Guadalajara",Gastronomía,Calle Argentina 355,"20,6714566","-103,361081",90,$300,,Gourmet,"Cocina argentina con toque mexicano en el barrio Americana. Empanadas crujientes y carnes a la parrilla en un ambiente tranquilo y acogedor."
"PINOCCHIO - Pedro Moreno, Guadalajara",Gastronomía,C. Pedro Moreno 1567,"20,6752127","-103,369875",120,$200-$400,,Gourmet,"Cocina italiana contemporánea en el corredor gastronómico de Pedro Moreno. Pastas artesanales y antipastos en un espacio moderno y animado."
"Romea, Guadalajara","Gastronomía, Vida Nocturna, Música",C. José María Morelos 1360,"20,6762475","-103,3652095",120,$200-$400,,Gourmet,"Restaurante mediterráneo con ambiente sofisticado en Vallarta. Mariscos frescos y sabores del sur de Europa con coctelería de diseño y música en vivo."
"Tikuun comedor, Guadalajara",Gastronomía Mexicana,C. Emeterio Robles Gil 50,"20,6757448","-103,3624709",120,"$400 - $2,500",,Tradicional,"Cocina mexicana gourmet inspirada en raíces prehispánicas. Técnicas modernas con ingredientes nativos en un ambiente íntimo; experiencia culinaria única en Guadalajara."
"Rosarito, Guadalajara","Gastronomía Mexicana, Gastronomía, Música, Vida Nocturna",Av. Chapultepec Sur 565,"20,6674669","-103,3682254",150,$200-$400,,Tradicional,"Ambiente vibrante en Chapultepec con cocina mexicana y mariscos. Terraza popular para cenar y beber en una de las zonas más animadas de Guadalajara."
"Tyrano, Guadalajara","Gastronomía, Vida Nocturna, Música",C. Pedro Moreno 1212,"20,6756822","-103,36293",150,$300-$600,,Gourmet,"Cocina de autor y coctelería de diseño en el corazón de Guadalajara. Ambiente oscuro y elegante ideal para cenas largas con música seleccionada."
"De La O Cantina, Guadalajara","Vida Nocturna, Música",Calle Argentina 70,"20,6751906","-103,3614435",150,$200-$400,,Vida Nocturna,"Cantina moderna con ambiente artístico en Santa Teresita. Cócteles creativos y botanas de autor; punto de encuentro de creativos y noctámbulos tapatíos."
"Hueso Restaurante, Guadalajara","Gastronomía, Música, Vida Nocturna",Calle Efraín González Luna 2061,"20,6695522","-103,3697616",150,"$1,200",,Gourmet,"Restaurante de alta cocina con diseño único rodeado de huesos y referencias óseas. Una experiencia gastronómica y visual única en el barrio Americana de Guadalajara."
"Parque Agua Azul, Guadalajara",Naturaleza,Parque Agua Azul,"20,6595989","-103,3494703",90,Gratis,,,"El parque público más grande del centro de Guadalajara. Jardines tropicales, orquideario, mariposario y espacios culturales en un oasis verde de acceso libre para todos."
"Restaurante Casa Caborca Asador de Carnes Zapopan, Guadalajara","Gastronomía Mexicana, Gastronomía, Vida Nocturna",Av Rafael Sanzio 165,"20,6747396","-103,4298768",150,$400-$600,,Gourmet,"Asador de cortes sonorenses en Zapopan. Carnes de primera calidad al estilo del norte del país con ambiente norteño auténtico; favorito de familias en fin de semana."
Cuerno Andares,"Gastronomía Mexicana, Gastronomía, Postre, Música, Vida Nocturna",Blvd. Puerta de Hierro 4965,"20,712606","-103,4125498",150,"$1,000-$1,500",,Gourmet,"Cocina mexicana moderna en el exclusivo desarrollo Andares. Ambiente sofisticado con sabores contemporáneos a pasos de las mejores tiendas del poniente de la ciudad."
Mantela Restaurante,"Gastronomía, Gastronomía Mexicana, Vida Nocturna",Blvd. Puerta de Hierro 4965,"20,7107409","-103,4124959",150,"$1,000-$1,500",,Gourmet,"Restaurante de chef con cocina mexicana de temporada en Andares. Ingredientes frescos y presentaciones de arte culinario en un marco elegante y contemporáneo."
Mochomos Guadalajara,"Gastronomía, Gastronomía Mexicana, Postre",Av. Patria 188,"20,7074473","-103,4128724",150,"$1,000-$1,500",,Gourmet,"Cocina sonorense con los mejores cortes de carne de la ciudad. Famoso por su carne asada y burritos norteños en ambiente festivo; perfecto para grupos grandes."
Cotidiano - Restaurante en La Perla,Gastronomía,Av. Mariano Otero 480,"20,6438923","-103,4126551",150,$200-$400,,Gourmet,"Cocina de mercado en La Perla Tapatía con menú diario de ingredientes frescos. Ambiente acogedor y accesible; reflejo genuino de la comida cotidiana de calidad en Guadalajara."
Casa Prime Puerta de Hierro,"Gastronomía, Gastronomía Mexicana","Real de Acueducto 210, Real Acueducto","20,7101861","-103,410269",150,"$1,000-$1,500",,Gourmet,"Restaurante de cortes premium en la exclusiva zona de Andares. Carnes importadas y locales con acabados gourmet en un ambiente íntimo y refinado."
"Ay! Caguamas Ciudad Granja, Guadalajara","Música, Vida Nocturna",Calzada Nte 7195-Interior 19,"20,682391","-103,4461655",150,$200-$400,,Vida Nocturna,"El spot para botanas y caguamas en la zona Ciudad Granja. Ambiente relajado y festivo muy popular entre jóvenes tapatíos para una tarde-noche desenfadada."
"Angelina Bistro, Guadalajara","Gastronomía, Gastronomía Mexicana, Vida Nocturna, Música",Av central no 248B Local LB col,"20,6747619","-103,4517081",150,$200-$400,,Gourmet,"Bistró de cocina europea con toque mexicano en el poniente de Guadalajara. Brunch los fines de semana y cenas románticas entre semana con música en vivo."
"Taberna Central, Guadalajara","Gastronomía, Música, Vida Nocturna",Calz. Central 125 A,"20,6751707","-103,3473385",150,$200-$400,,Gourmet,"Cocina de mercado y cervezas artesanales en el Centro de Guadalajara. Ambiente relajado con platillos que mezclan tradición e innovación; ideal antes de una noche de bares."
"Tía Ofe Pozole Vegano, Guadalajara","Vegana, Comida Calle","Expiatorio, Col Americana, 44160","20,6730264","-103,3588896",30,$100-$150,,Vegana,"Pozole vegano con caldo rico y todas las guarniciones tradicionales. Una opción saludable y auténtica que conquista también a los más carnívoros en la Colonia Americana."
Choclo y Maiz Cocina Vegana,Cafeterias Vegana,Calle Gabriel Ramos Millán #37,"20,6765945","-103,3674101",60,$100-$250,,Vegana,"Cocina vegana mexicana con platillos creativos a base de maíz. Sabores que sorprenden incluso a los más carnívoros; opción saludable y deliciosa en la Colonia Americana."
"Café Sinergia, Guadalajara","Gastronomía, Cafeterías",Guadalajara,20.669755439642028,-103.37041488650674,60,$100-$200,https://tb-static.uber.com/prod/image-proc/processed_images/4edd6091026c1265bdb70258fb49f83d/bc9c318a9c96996e2d990faf2b0c65f6.jpeg,Cafeterías,"Cafetería acogedora en la Colonia Americana muy popular entre trabajadores y estudiantes. Bebidas de especialidad y desayunos en un ambiente creativo y colaborativo."
"Hospital Hispano, Guadalajara",Hospital,C. Pedro Moreno 934,"20,6757474","-103,3581196",,,,
"Hospital Real San José, Guadalajara",Hospital,Calz. Lázaro Cárdenas 4149,"20,6728373","-103,4095175",,,,
"Hospital Colonias, Guadalajara",Hospital,Av. Miguel Hidalgo y Costilla 1351,"20,6767593","-103,3663609",,,,
"Hospital Lomas Providencia, Guadalajara",Hospital,Victoria 1515,"20,6974911","-103,3898657",,,,
"Hospital Country 2000, Guadalajara",Hospital,Av. Cvln. Jorge Álvarez del Castillo 1542,"20,7036781","-103,3646804",,,,
"Hospital México Americano, Guadalajara",Hospital,C. Colomos 2110,"20,6914756","-103,3699146",,,,
"Hospital San Javier, Guadalajara",Hospital,Av Pablo Casals 640,"20,6879462","-103,3896287",,,,
"Hospital Ángeles del Carmen, Guadalajara",Hospital,C. Tarascos 3435,"20,6807337","-103,3984033",,,,
"Puerta de Hierro Medical Center, Guadalajara",Hospital,Av. Empresarios 150,"20,7086893","-103,4144338",,,,
"Hospital Real San José Valle Real, Guadalajara",Hospital,Av. Central Guillermo González Camarena 911,"20,7218921","-103,4296447",,,,
"Hospital Jardines, Guadalajara",Hospital,Calle Toltecas 3597,"20,6818811","-103,3996857",,,,
"Hospital Civil Fray Antonio Alcalde, Guadalajara",Hospital,Coronel Calderón 777,"20,6880786","-103,3435825",,,,
"We Cash Centro, Guadalajara",Casas de Cambio,C. Manuel López Cotilla 167,"20,674326","-103,3451183",,,,
"Foreign Exchange Center West Pearl, Guadalajara",Casas de Cambio,C. Manuel López Cotilla 211-Loc. 2A,"20,6743352","-103,3460074",,,,
"Centro Cambiario Torres Barón, Guadalajara",Casas de Cambio,C. Maestranza 150,"20,6744657","-103,3457252",,,,
"Dólares Américas, Guadalajara",Casas de Cambio,Av. de las Américas 393-A,"20,684049","-103,3737671",,,,
"Casa de Cambio Minerva, Guadalajara",Casas de Cambio,44690 Glorieta Minerva,"20,6730627","-103,3880093",,,,
"Centro Cambiario Remus, Guadalajara",Casas de Cambio,Jardines de Los Arcos 44500,"20,6657657","-103,3943685",,,,
"Dólares Manhattan, Guadalajara",Casas de Cambio,Av Guadalupe 1259-B,"20,6658475","-103,4032485",,,,
"Casa de Cambio Dólares Acueducto, Guadalajara",Casas de Cambio,Av. Acueducto 6050 Local 7-8,"20,7222675","-103,4156134",,,,
"Centro Cambiario Delfino, Guadalajara",Casas de Cambio,Avenida Patria 7123-Interior 2z A 2,"20,7131142","-103,3791455",,,,
"Casa de Cambio Patria, Guadalajara",Casas de Cambio,Av. Patria 713B,"20,6900671","-103,4183173",,,,
"Dólar Azteca, Guadalajara",Casas de Cambio,Av. Adolfo López Mateos Sur 4460,"20,6077497","-103,4319162",,,,
"Café Rozita, Guadalajara","Gastronomía, Cafeterías",C. Penitenciaría 334,"20,6717572","-103,3557689",60,$100-$200,,Cafeterías,"Cafetería acogedora cerca del barrio San Juan de Dios. Bebidas especiales y repostería artesanal en un espacio con carácter; favorita de artistas y creativos locales."
"Café Boutique Teatro Degollado, Guadalajara","Gastronomía, Cafeterías","C. Belén Centro Historico 44100 Guadalajara","20,676856","-103,344773",60,$100-$200,,Cafeterías,"Pequeña joya junto al Teatro Degollado. El lugar ideal para una pausa cultural con café artesanal antes o después de un espectáculo en el Centro Histórico."
"Fragante Café, Guadalajara","Gastronomía, Cafeterías",C. Pedro Loza 389,"20,6825218","-103,348621",60,$100-$200,,Cafeterías,"Café de especialidad en el Centro Histórico. El aroma de granos de origen llena este espacio íntimo con métodos de preparación alternativos para amantes del café serio."
"Happy Coffee, Guadalajara","Gastronomía, Cafeterías",Calle Mesa del Nte 130B,"20,7071512","-103,3221768",60,$100-$200,,Cafeterías,"Cafetería colorida y animada en Zapopan que vive a su nombre. Bebidas especiales y desayunos en un ambiente festivo y vibrante que llena de energía el día."
"Moka Moments Cafetería, Guadalajara","Gastronomía, Cafeterías",C. Francisco Javier Mujica 927,"20,706924","-103,34526",60,$100-$200,,Cafeterías,"Cafetería acogedora en el norte de la ciudad. Bebidas calientes y frías con repostería artesanal que hacen de cada visita un momento especial para pausar el día."
"Aloó Café, Guadalajara","Gastronomía, Cafeterías",C. Jesús García 1984,"20,6894103","-103,3741836",60,$100-$200,,Cafeterías,"Café de especialidad en la Colonia Ladrón de Guevara. Ambiente minimalista con bebidas de autor y repostería fresca; el lugar ideal para iniciar bien la mañana."
"Kalido Café, Guadalajara","Gastronomía, Cafeterías",C. Manuel López Cotilla 2149-A,"20,6731039","-103,382489",60,$100-$200,,Cafeterías,"Cafetería moderna en la Colonia Americana con bebidas creativas y leches vegetales. Opciones para dietas especiales y repostería saludable en un espacio luminoso."
"Gufo Café, Guadalajara","Gastronomía, Cafeterías",Av. Chapultepec Sur 198,"20,6730811","-103,3689433",60,$100-$200,,Cafeterías,"Cafetería de especialidad en la zona Chapultepec. Granos de origen y métodos de extracción alternativos en un ambiente tranquilo; favorita de los amantes del café serio."
"Fika, Guadalajara","Gastronomía, Cafeterías",San Felipe de Jesús,"20,6693587","-103,3237397",60,$100-$200,,Cafeterías,"Cafetería inspirada en la tradición escandinava del fika para pausar y disfrutar. Café artesanal con repostería nórdica en el sur de Guadalajara; una experiencia diferente."
"Estresso Café, Guadalajara","Gastronomía, Cafeterías",Milán 2816,"20,6957464","-103,3843568",60,$100-$200,,Cafeterías,"Cafetería vibrante en Providencia especializada en espresso y opciones frías. Bebidas rápidas de calidad para el ritmo acelerado del norte de la ciudad."
"El Terrible Juan Café La Estancia, Guadalajara","Gastronomía, Cafeterías",Av Rafael Sanzio 525,"20,666922","-103,4317599",60,$100-$200,,Cafeterías,"Cafetería rústica y acogedora en la zona de Andares. Desayunos completos y café de origen en un ambiente familiar con terraza; perfecto para el brunch del fin de semana."
"Entre Matices Café, Guadalajara","Gastronomía, Cafeterías",Av Guadalupe 5057-L8,"20,6615914","-103,4257221",60,$100-$200,,Cafeterías,"Café de especialidad en Chapalita con métodos de preparación alternativos. Granos seleccionados y opciones de temporada en un espacio íntimo para los más cafeteros."
"Jardín Cafeto Providencia, Guadalajara","Gastronomía, Cafeterías",Av Montevideo 3194,"20,6967251","-103,3896932",60,$100-$200,,Cafeterías,"Sucursal de la cadena más querida de Guadalajara en Providencia. Jardín al aire libre con café de especialidad y desayunos; el punto de encuentro del barrio desde las 7:30 am."
"Jardín Cafeto La Americana, Guadalajara","Gastronomía, Cafeterías",Av. Ignacio L Vallarta 1850,"20,674692","-103,3734837",60,$100-$200,,Cafeterías,"La sucursal de Jardín Cafeto en la Colonia Americana. Ambiente de jardín con café de especialidad; referencia del desayuno tapatío en una de las zonas más cosmopolitas."
"Jardín Cafeto Chapalita, Guadalajara","Gastronomía, Cafeterías",Av. Tepeyac 4048,"20,661256","-103,4080331",60,$100-$200,,Cafeterías,"Sucursal de Jardín Cafeto en el tranquilo barrio de Chapalita. Jardín característico con café artesanal y atención cálida; el ritual del desayuno hecho experiencia."
"The Coffee Aledén Puerta, Guadalajara","Gastronomía, Cafeterías",Av. Universidad 1011,"20,7031727","-103,4216025",60,$100-$200,,Cafeterías,"Cafetería de especialidad de la cadena The Coffee en Zapopan. Ambiente moderno con bebidas frías y calientes; una parada conveniente en la zona universitaria."
"The Coffee Legacy Tower, Guadalajara","Gastronomía, Cafeterías",Legacy Tower,"20,7077648","-103,4141715",60,$100-$200,,Cafeterías,"Sucursal de The Coffee en la imponente Legacy Tower de Guadalajara. Café de calidad en el edificio más alto de la ciudad con vistas espectaculares del skyline tapatío."
"The Coffee Cd. Granja, Guadalajara","Gastronomía, Cafeterías",Calz. Central 270-K01,"20,683413","-103,44493",60,$100-$200,,Cafeterías,"Cafetería de la cadena The Coffee en Ciudad Granja. Bebidas de especialidad en ambiente moderno; opción conveniente para los habitantes del poniente de Guadalajara."
"The Spot Café, Guadalajara","Gastronomía, Cafeterías",C. José María Vigil 2997,"20,6915376","-103,3877245",60,$100-$200,,Cafeterías,"Cafetería moderna y acogedora en la zona Providencia. Bebidas de autor y repostería en un espacio tranquilo ideal para trabajar o reunirse con amigos."
"Recoleta Confitería Argentina Tepeyac, Guadalajara","Gastronomía, Cafeterías",Av. Tepeyac 1042-A,"20,6624224","-103,4049732",60,$100-$200,,Cafeterías,"Confitería argentina en Chapalita. Medialunas auténticas y café estilo Buenos Aires; un pedazo de Argentina en Guadalajara para los amantes de la cultura rioplatense."
